,kind,name,url,releaseDate,artistName,id
90,podcast,13 Alibis,https://podcasts.apple.com/us/podcast/13-alibis/id1463081342,2019-09-02,NBC News,1463081342
91,podcast,The Moth,https://podcasts.apple.com/us/podcast/the-moth/id275699983,2019-09-03,The Moth,275699983
92,podcast,Sword and Scale,https://podcasts.apple.com/us/podcast/sword-and-scale/id790487079,2019-09-08,Incongruity,790487079
93,podcast,The GaryVee Audio Experience,https://podcasts.apple.com/us/podcast/the-garyvee-audio-experience/id928159684,2019-09-08,Gary Vaynerchuk,928159684
94,podcast,Girls Gotta Eat,https://podcasts.apple.com/us/podcast/girls-gotta-eat/id1348777092,2019-09-02,Ashley Hesseltine and Rayna Greenberg,1348777092
95,podcast,Jensen and Holes: The Murder Squad,https://podcasts.apple.com/us/podcast/jensen-and-holes-the-murder-squad/id1455668750,2019-09-02,Exactly Right,1455668750
96,podcast,The Breakdown with Shaun King,https://podcasts.apple.com/us/podcast/the-breakdown-with-shaun-king/id1457725100,2019-09-06,The North Star,1457725100
97,podcast,Stuff You Missed in History Class,https://podcasts.apple.com/us/podcast/stuff-you-missed-in-history-class/id283605519,2019-09-07,iHeartRadio & HowStuffWorks,283605519
98,podcast,Invisibilia,https://podcasts.apple.com/us/podcast/invisibilia/id953290300,2019-08-23,NPR,953290300
99,podcast,The Tim Ferriss Show,https://podcasts.apple.com/us/podcast/the-tim-ferriss-show/id863897795,2019-09-03,"Tim Ferriss: Bestselling Author, Human Guinea Pig",863897795
100,podcast,Pod Save America,https://podcasts.apple.com/us/podcast/pod-save-america/id1192761536,2019-09-05,Crooked Media,1192761536
101,podcast,In the Dark,https://podcasts.apple.com/us/podcast/in-the-dark/id1148175292,2019-07-02,APM Reports,1148175292
102,podcast,WHOA That's Good Podcast,https://podcasts.apple.com/us/podcast/whoa-thats-good-podcast/id1433974017,2019-03-27,Sadie Robertson,1433974017
