,0,1,2,3,4,5,6,7
25,iHeartRadio & HowStuffWorks,278981407,2019-10-03,Stuff You Should Know,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/stuff-you-should-know/id278981407,Jamie
26,Ramsey Network,77001367,2019-10-02,The Dave Ramsey Show,podcast,"[{'genreId': '1412', 'name': 'Investing', 'url': 'https://itunes.apple.com/us/genre/id1412'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}, {'genreId': '1500', 'name': 'Self-Improvement', 'url': 'https://itunes.apple.com/us/genre/id1500'}]",https://podcasts.apple.com/us/podcast/the-dave-ramsey-show/id77001367,Jamie
27,NPR,1150510297,2019-09-30,How I Built This with Guy Raz,podcast,"[{'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/how-i-built-this-with-guy-raz/id1150510297,Jamie
28,This American Life,201671138,2019-09-29,This American Life,podcast,"[{'genreId': '1302', 'name': 'Personal Journals', 'url': 'https://itunes.apple.com/us/genre/id1302'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1301', 'name': 'Arts', 'url': 'https://itunes.apple.com/us/genre/id1301'}]",https://podcasts.apple.com/us/podcast/this-american-life/id201671138,Jamie
29,TNT / Cadence13,1450277129,2019-06-14,Root of Evil: The True Story of the Hodel Family and the Black Dahlia,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}]",https://podcasts.apple.com/us/podcast/root-evil-true-story-hodel-family-black-dahlia/id1450277129,Jamie
30,iHeartRadio,1382244741,2019-10-02,Committed,podcast,"[{'genreId': '1544', 'name': 'Relationships', 'url': 'https://itunes.apple.com/us/genre/id1544'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1302', 'name': 'Personal Journals', 'url': 'https://itunes.apple.com/us/genre/id1302'}]",https://podcasts.apple.com/us/podcast/committed/id1382244741,Jamie
31,Stitcher & Bill Nye,1460716677,2019-10-03,Science Rules! with Bill Nye,podcast,"[{'genreId': '1533', 'name': 'Science', 'url': 'https://itunes.apple.com/us/genre/id1533'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/science-rules-with-bill-nye/id1460716677,Jamie
32,Andy Frisella #100to0,1012570406,2019-09-27,The MFCEO Project,podcast,"[{'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/the-mfceo-project/id1012570406,Jamie
33,Tenderfoot TV,1140596919,2019-09-30,Up and Vanished,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/up-and-vanished/id1140596919,Jamie
34,Jay Shetty,1450994021,2019-09-30,On Purpose with Jay Shetty,podcast,"[{'genreId': '1512', 'name': 'Health & Fitness', 'url': 'https://itunes.apple.com/us/genre/id1512'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}]",https://podcasts.apple.com/us/podcast/on-purpose-with-jay-shetty/id1450994021,Jamie
