WordCount,ConfScore
4,0.970516682
80,0.96343863
180,0.972720504
43,0.932801902
170,0.974354565
40,0.950851798
44,0.943460464
145,0.966886044
3,0.743606448
157,0.963811576
10,0.556454778
10,0.863784492
87,0.934836984
64,0.966285706
26,0.968761504
99,0.956525683
177,0.972178638
127,0.967135906
134,0.947943091
180,0.971429944
123,0.968707025
12,0.941150129
137,0.961422324
64,0.948601544
80,0.953881681
160,0.963924527
33,0.870099247
160,0.970570862
25,0.933117628
11,0.837743044
86,0.957166553
121,0.956020713
162,0.976438522
147,0.967649937
168,0.979982972
21,0.914758325
6,0.694442034
108,0.962597966
34,0.948458612
65,0.940374672
26,0.948914289
70,0.922228336
52,0.926630557
86,0.965607584
132,0.967276692
9,0.935925901
151,0.969839692
104,0.96406126
112,0.9699772
54,0.950782001
155,0.972045243
42,0.941403985
92,0.957011938
159,0.966200233
13,0.961983383
2,0.631849647
98,0.95520246
8,0.985234857
16,0.843462229
42,0.96968931
6,0.8641873
15,0.988659024
31,0.907176733
47,0.975739419
29,0.954322219
105,0.969298899
38,0.953358114
4,0.881969035
9,0.764765382
52,0.939090788
57,0.940620422
137,0.958046675
5,0.968256593
5,0.714754999
2,0.729888439
30,0.850565135
3,0.986473322
94,0.961826861
214,0.971942961
24,0.919761598
135,0.968669236
181,0.96300751
177,0.973147988
158,0.963807106
136,0.959810019
143,0.965469658
3,0.769203424
217,0.970075905
133,0.954200327
94,0.949756205
141,0.959821522
46,0.865696192
94,0.957999587
106,0.955614269
177,0.963493764
63,0.925902367
111,0.962422669
110,0.953248978
166,0.965152621
165,0.968150973
169,0.978295267
136,0.9602952
163,0.977568924
173,0.964479506
170,0.968089461
165,0.956648111
29,0.942040682
168,0.972823799
173,0.969121456
129,0.968584776
144,0.958654463
124,0.967838109
171,0.974625707
176,0.972746074
160,0.965854287
107,0.956791103
151,0.959982753
101,0.955509901
190,0.974260986
35,0.893023014
177,0.974025071
162,0.965102494
81,0.945328295
147,0.976453006
72,0.957502484
133,0.95521462
98,0.960944891
101,0.959713161
112,0.94391638
199,0.9752478
4,0.979413688
19,0.915895343
186,0.969615817
87,0.95374161
59,0.93166244
183,0.970440567
189,0.971732914
177,0.968593717
197,0.973954737
216,0.975435913
161,0.970648825
71,0.931859314
183,0.964913368
196,0.976835847
206,0.975356817
200,0.970455229
32,0.929789662
4,0.569504559
221,0.964841664
101,0.958357394
24,0.877355337
205,0.974865794
154,0.970402896
63,0.95326066
4,0.933891356
70,0.958259284
168,0.966230333
17,0.951942682
17,0.901714563
11,0.961300671
29,0.950076401
106,0.958464146
27,0.91478622
191,0.973610699
8,0.977169514
48,0.927655697
36,0.934390068
170,0.967845857
57,0.951092422
37,0.963364482
47,0.924710929
49,0.925773919
55,0.95510745
89,0.951933265
145,0.960592031
37,0.916515768
133,0.967381358
20,0.842283905
186,0.974757195
29,0.610466182
129,0.959540367
205,0.974132478
5,0.61723125
114,0.958636284
27,0.85387665
136,0.953852355
29,0.896940649
6,0.939284325
88,0.948386788
132,0.948994994
151,0.975461245
150,0.949911118
182,0.974183798
118,0.952687681
74,0.955133379
25,0.8768996
10,0.748436689
8,0.853644848
11,0.792791963
15,0.914671183
22,0.904319942
9,0.956372023
3,0.926119804
27,0.901828766
8,0.939864457
2,0.707838297
4,0.974489212
4,0.987629056
8,0.873640478
4,0.990721822
41,0.940191329
7,0.838047147
20,0.90662241
6,0.963319302
27,0.921875358
5,0.966442883
9,0.936660111
70,0.922140718
15,0.916369617
13,0.964418173
13,0.832777321
2,0.707968712
16,0.827237308
67,0.93281579
33,0.913769484
2,0.788068295
9,0.796039045
168,0.977187395
170,0.96093899
176,0.976626813
26,0.944368243
186,0.970668614
156,0.956058979
150,0.951903284
108,0.953761935
150,0.959108174
63,0.927494645
34,0.930354953
51,0.931160212
42,0.941721976
198,0.972543418
89,0.958254874
181,0.973390281
38,0.917256474
123,0.963549495
181,0.979856312
197,0.95918566
11,0.864245415
174,0.969113231
33,0.921480775
24,0.864255905
160,0.965983927
150,0.96373105
68,0.931051254
195,0.969604135
155,0.96289736
146,0.956651628
209,0.963493705
106,0.976256907
106,0.937818408
133,0.967277348
25,0.819713354
167,0.968268454
95,0.953439355
82,0.95266515
28,0.924219549
34,0.861316025
48,0.898842037
22,0.913692832
145,0.941749096
105,0.954862833
104,0.960161567
77,0.958799779
5,0.979270637
42,0.944354892
128,0.965073884
132,0.969139695
5,0.874892414
137,0.965894461
25,0.890892863
91,0.957503676
76,0.957944572
78,0.971362472
113,0.96311301
45,0.9718256
91,0.965183973
11,0.859588861
7,0.938581347
7,0.887387335
35,0.944604933
13,0.95285356
5,0.768001914
14,0.815318167
8,0.732510984
20,0.943352222
21,0.879583716
24,0.870112598
22,0.922019899
17,0.966059208
187,0.965979159
65,0.89564842
65,0.941896319
19,0.873525918
11,0.961666882
8,0.946360588
10,0.925697625
30,0.895671606
83,0.918616712
10,0.959401906
5,0.849826694
2,0.818892479
61,0.945769548
36,0.953410089
71,0.947620749
120,0.967521131
69,0.962606013
103,0.96671319
40,0.949101329
38,0.93935585
143,0.965585709
44,0.942026079
8,0.869826972
134,0.963057578
157,0.972645998
64,0.951153994
140,0.973086536
142,0.967724323
136,0.973709881
85,0.971392155
116,0.972541869
170,0.974376142
140,0.968264639
28,0.956889212
167,0.968070328
124,0.960913599
51,0.942382395
151,0.971245646
4,0.877686441
83,0.940894008
66,0.949779272
4,0.961511254
142,0.964366198
75,0.944873571
104,0.947010159
159,0.972042203
146,0.967443049
